Years,商品房平均销售价格(元/平方米),住宅商品房平均销售价格(元/平方米),别墅、高档公寓平均销售价格(元/平方米),办公楼商品房平均销售价格(元/平方米),商业营业用房平均销售价格(元/平方米),其他商品房平均销售价格(元/平方米)
2022.0,12226.0,12963.0,,10961.0,11545.0,4570.0
2021.0,12906.0,13666.0,,10367.0,11154.0,4371.0
2020.0,12581.0,13011.0,,11358.0,10657.0,4870.0
2019.0,11637.0,11873.0,17547.0,11084.0,11524.0,5272.0
2018.0,10773.54,10542.48,16357.58,12082.59,16043.11,5471.07
2017.0,9195.0,9070.0,14010.0,10923.0,11633.0,5222.0
2016.0,8805.0,8734.0,13584.0,9612.0,10519.0,4676.0
2015.0,7356.0,7177.0,13110.0,9336.0,9976.0,4224.0
2014.0,7006.0,6783.0,12849.0,8798.0,9929.0,4088.0
2013.0,6909.0,6650.0,12196.0,7617.0,10416.0,4156.0
2012.0,6726.78,6422.85,11604.07,9049.3,9774.11,3779.41
2011.0,6554.41,6145.2,11643.36,9634.65,9374.89,4200.27
2010.0,5841.0,5592.0,10191.0,7962.0,7892.0,3239.0
2009.0,4983.0,4805.0,8348.0,6895.0,6831.0,2642.0
2008.0,4049.0,3802.0,7729.0,5906.0,6172.0,2567.0
2007.0,4024.36,3834.2,7043.34,7190.32,5832.4,2173.18
2006.0,3592.19,3375.17,5599.47,5246.64,5401.69,2110.36
2005.0,3358.76,3145.58,5002.16,5215.68,5179.79,2262.79
2004.0,2651.41,2417.85,,5194.69,4512.23,1388.13
2003.0,2197.0,2017.0,3240.0,4136.0,3487.47,1448.12
2002.0,1925.0,1806.0,2654.0,3547.0,3065.0,1413.0
,,,,,,
